BTU_count	provisioning	xp_id
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.82
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.83
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.84
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.85
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.86
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.87
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.88
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.89
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.8
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.90
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.91
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.93
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.94
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.95
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.96
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.97
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.98
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.99
36	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.9
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.100
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.101
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.102
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.103
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.104
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.105
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.106
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.10
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.11
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.12
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.13
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.14
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.15
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.16
