"source" "makespan" "wpo.makespan" "wto.makespan" "wpo.d" "wto.d"
"bonfire-fr-inria.pleiades-2x2.Asap.2.json" 17046 17751 17387 0.0413586765223513 0.0200046931831515
"openstack.hrt.Afap.10000.3.json" 503 482 503 0.0417495029821074 0
"openstack.hrt.Afap.10000.4.json" 503 482 503 0.0417495029821074 0
"openstack.hrt.Afap.10000.5.json" 503 482 503 0.0417495029821074 0
"openstack.hrs.Afap.1250.3.json" 3767 3599 3767 0.0445978232014866 0
"openstack.hrt.Afap.10000.7.json" 509 486 509 0.0451866404715128 0
"openstack.hrt.Afap.10000.2.json" 505 482 505 0.0455445544554455 0
"bonfire-uk-epcc.pleiades-2x2.Asap.5.json" 4979 5218 5103 0.048001606748343 0.024904599317132
"openstack.hrs.Afap.1250.json" 3784 3599 3784 0.0488900634249471 0
"openstack.hrs.Asap.1250.3.json" 624 593 639 0.0496794871794872 0.0240384615384615
"openstack.hrs.Afap.1250.5.json" 3791 3599 3791 0.0506462674756001 0
"openstack.hrt.Afap.10000.json" 508 482 508 0.0511811023622047 0
"bonfire-uk-epcc.pleiades-3x3.Afap.3.json" 17085 16196 17026 0.0520339479075212 0.00345332162715833
"openstack.brs.Afap.1250.8.json" 7928 7503 8122 0.0536074672048436 0.0244702320887992
"openstack.brs.Afap.1250.9.json" 7963 7509 8241 0.0570136883084265 0.0349114655280673
"openstack.hrs.Afap.1250.8.json" 3765 3549 3765 0.0573705179282869 0
"openstack.hrs.Afap.1250.6.json" 3767 3549 3766 0.0578709848685957 0.000265463233342182
"openstack.hrs.Afap.1250.9.json" 3777 3549 3777 0.0603653693407466 0
"bonfire-de-hlrs.pleiades-2x2.Afap.3.json" 15733 16685 19927 0.060509756562639 0.266573444352635
"openstack.hrs.Afap.1250.7.json" 3781 3549 3781 0.0613594287225602 0
"openstack.brs.Afap.1250.2.json" 7985 7491 8256 0.0618659987476518 0.0339386349405135
"bonfire-de-hlrs.hrt.Afap.10000.7.json" 660 619 613 0.0621212121212121 0.0712121212121212
"openstack.hrs.Afap.1250.10.json" 3793 3549 3793 0.0643290271552861 0
"openstack.hrs.Afap.1250.4.json" 3793 3547 3793 0.0648563142631163 0
"openstack.brs.Afap.1250.6.json" 8011 7491 8298 0.0649107477218824 0.0358257396080389
"openstack.hrs.Afap.1250.2.json" 3799 3547 3799 0.066333245590945 0
"openstack.brs.Afap.1250.3.json" 8033 7497 8168 0.0667247603635006 0.0168056765840906
"bonfire-de-hlrs.hrt.Afap.10000.6.json" 664 619 620 0.0677710843373494 0.0662650602409639
"openstack.hrs.Asap.1250.json" 637 593 655 0.0690737833594976 0.0282574568288854
"openstack.brs.Afap.1250.10.json" 8073 7491 8346 0.0720921590486808 0.0338164251207729
"openstack.brs.Afap.1250.7.json" 8067 7485 8345 0.0721457791000372 0.0344613858931449
"bonfire-fr-inria.hrt.Afap.10000.5.json" 684 633 655 0.0745614035087719 0.0423976608187134
"bonfire-fr-inria.pleiades-1x1.Asap.json" 1628 1755 1810 0.078009828009828 0.111793611793612
"bonfire-fr-inria.pleiades-3x3.Afap.2.json" 14984 16164 15758 0.0787506673785371 0.0516550987720235
"openstack.brs.Afap.1250.json" 8136 7491 8417 0.0792772861356932 0.0345378564405113
"bonfire-fr-inria.hrt.Afap.10000.4.json" 688 633 659 0.0799418604651163 0.0421511627906977
"bonfire-de-hlrs.hrt.Afap.10000.5.json" 674 619 630 0.0816023738872404 0.0652818991097923
"bonfire-fr-inria.hrt.Afap.10000.3.json" 690 633 663 0.0826086956521739 0.0391304347826087
"openstack.brs.Afap.1250.11.json" 8200 7497 8477 0.0857317073170732 0.0337804878048781
"openstack.hrs.Asap.1250.10.json" 619 564 635 0.0888529886914378 0.0258481421647819
"openstack.brs.Afap.1250.4.json" 8050 7319 8301 0.0908074534161491 0.0311801242236025
"openstack.hrt.Asap.10000.2.json" 144 130 144 0.0972222222222222 0
"openstack.hrt.Asap.10000.3.json" 144 130 144 0.0972222222222222 0
"openstack.pleiades-2x2.Asap.json" 2648 2938 2794 0.109516616314199 0.0551359516616314
"bonfire-fr-inria.hrt.Afap.10000.json" 712 633 683 0.110955056179775 0.0407303370786517
"bonfire-uk-epcc.hrt.Asap.10000.json" 443 392 428 0.115124153498871 0.0338600451467269
"bonfire-uk-epcc.hrs.Afap.1250.2.json" 6275 5551 5958 0.115378486055777 0.0505179282868526
"bonfire-uk-epcc.pleiades-2x2.Asap.2.json" 5020 5614 5004 0.118326693227092 0.00318725099601594
"bonfire-uk-epcc.hrt.Asap.10000.3.json" 447 392 426 0.123042505592841 0.0469798657718121
"openstack.brs.Asap.1250.2.json" 6015 5219 6256 0.132335827098919 0.0400665004156276
"openstack.brs.Asap.1250.4.json" 6058 5254 6301 0.132717068339386 0.0401122482667547
